f_species,f_breed,f_prod_system,f_region,x0_animals
poultry,broiler,conventional,1921,1754.4357335302975
cattle,dairy,conventional,1922,787.4676442245695
cattle,beef,conventional,1922,370.58880172058593
sheep,none,conventional,1922,856.8081689285852
pigs,none,conventional,1922,695.5371729455879
poultry,layer,conventional,1922,9617.557603270734
poultry,broiler,conventional,1922,3.4978569880092687
cattle,dairy,conventional,2011,2948.65662522445
cattle,beef,conventional,2011,1647.9894880785791
sheep,none,conventional,2011,2669.408328185649
pigs,none,conventional,2011,1111.5149290201905
poultry,layer,conventional,2011,43545.47934448196
poultry,broiler,conventional,2011,0.0
cattle,dairy,conventional,2012,1502.1404520930869
cattle,beef,conventional,2012,963.6073458193842
sheep,none,conventional,2012,2563.2808376302546
pigs,none,conventional,2012,105.65585567699624
poultry,layer,conventional,2012,435.3583324244401
poultry,broiler,conventional,2012,0.0
cattle,dairy,conventional,2019,21.16013715915723
cattle,beef,conventional,2019,25.041530420969632
sheep,none,conventional,2019,58.817019254554445
pigs,none,conventional,2019,5.258209166450406
poultry,layer,conventional,2019,0.0
poultry,broiler,conventional,2019,0.0
cattle,dairy,conventional,2111,3711.141394275971
cattle,beef,conventional,2111,1973.5628115423049
sheep,none,conventional,2111,3191.058450132908
pigs,none,conventional,2111,110.49263631424608
poultry,layer,conventional,2111,13364.778711132663
poultry,broiler,conventional,2111,1837.210347489804
cattle,dairy,conventional,2121,1590.673251918903
cattle,beef,conventional,2121,1050.5737999204669
sheep,none,conventional,2121,1867.208787120809
pigs,none,conventional,2121,19.23859541411091
poultry,layer,conventional,2121,36396.9189582268
poultry,broiler,conventional,2121,1338.288441542842
cattle,dairy,conventional,2122,240.21540517498005
cattle,beef,conventional,2122,375.4849750638936
sheep,none,conventional,2122,702.4040721451656
pigs,none,conventional,2122,14.31796846188971
poultry,layer,conventional,2122,2550.10410709907
poultry,broiler,conventional,2122,264.0013786149744
cattle,dairy,conventional,2211,1681.0243516286007
cattle,beef,conventional,2211,704.9412623804644
sheep,none,conventional,2211,938.8545636163026
pigs,none,conventional,2211,41.048083625978606
poultry,layer,conventional,2211,16727.926752921565
poultry,broiler,conventional,2211,0.0
cattle,dairy,conventional,2212,2513.4461023634058
cattle,beef,conventional,2212,1024.6290463623372
sheep,none,conventional,2212,1463.7300997641269
pigs,none,conventional,2212,382.6036798427742
poultry,layer,conventional,2212,17811.704034869603
poultry,broiler,conventional,2212,0.0
cattle,dairy,conventional,2221,2209.2668441590404
cattle,beef,conventional,2221,1123.4273797194564
sheep,none,conventional,2221,1252.9854417465976
pigs,none,conventional,2221,319.5548565543058
poultry,layer,conventional,2221,35.24857654605839
poultry,broiler,conventional,2221,280.2724597916916
cattle,dairy,conventional,2311,2810.7124494461077
cattle,beef,conventional,2311,1228.8150121301076
sheep,none,conventional,2311,1658.2412795701002
pigs,none,conventional,2311,33.22981589681529
poultry,layer,conventional,2311,2828.9662252325247
poultry,broiler,conventional,2311,0.0
cattle,dairy,conventional,2312,1458.4081936011653
cattle,beef,conventional,2312,655.7721275518992
sheep,none,conventional,2312,1188.163759560527
pigs,none,conventional,2312,45.4750900010029
poultry,layer,conventional,2312,3355.1042740460407
poultry,broiler,conventional,2312,0.0
cattle,dairy,conventional,2319,535.9547852113583
cattle,beef,conventional,2319,343.08876802323704
sheep,none,conventional,2319,542.6290086478408
pigs,none,conventional,2319,19.61371247136131
poultry,layer,conventional,2319,796.005574667776
poultry,broiler,conventional,2319,0.0
cattle,dairy,conventional,2331,507.2471642523319
cattle,beef,conventional,2331,417.60921152358793
sheep,none,conventional,2331,545.4862561755887
pigs,none,conventional,2331,3.2432237246229345
poultry,layer,conventional,2331,295.6275719034817
poultry,broiler,conventional,2331,90.92150424869465
cattle,dairy,conventional,2411,2991.1026592148382
cattle,beef,conventional,2411,382.6368467656304
sheep,none,conventional,2411,1227.0190053936844
pigs,none,conventional,2411,225.92130873591145
poultry,layer,conventional,2411,30830.53268690467
poultry,broiler,conventional,2411,0.0
cattle,dairy,conventional,2412,2211.327881692262
cattle,beef,conventional,2412,149.6097407838525
sheep,none,conventional,2412,414.0482697966691
pigs,none,conventional,2412,278.0155192257493
poultry,layer,conventional,2412,3225.7287027289663
poultry,broiler,conventional,2412,0.0
cattle,dairy,conventional,2413,2475.889970951448
cattle,beef,conventional,2413,255.58532293980835
sheep,none,conventional,2413,898.6298041717988
pigs,none,conventional,2413,316.14934486912654
poultry,layer,conventional,2413,12738.215957158262
